Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Num_words_text
226241,B002T0NWKE,A1G25CG7UWQ3XO,&#10003;Onoñda&#660;gegá&#660;,1,5,1,1309305600,Misleading discription-bad taste,they advertise that they contain aspartame diet flavors boldly state high fructose corn syrup regular flavors contain sucralose artificial sweetners making taste awful disclaimer front bottle they legally call diet artificial sweetners anyway unless like drink diet drinks will like regular flavors either,43
194272,B0009Y8AGI,A34Y9SS1F0H485,Bluemoon,0,6,1,1263600000,Yuck!,taste disgusting having struggle just keep down hope that does increase milk supply dont know even going finish trying mild maid next time since taste supposedly better,27
359016,B003CIBPN8,ANDTRFIVWED40,R. Hauff,6,8,1,1275782400,"If you liked it in tetrapak box, don't buy now",bought this zico water hoping have good taste before unfortunately tastes horrible could bear drinking half bottle very funky taste from brazil sure know what young coconut water tastes likeand what they taste nowhere close real coconut water perhaps works those like aged coconut waterbr wish could return order never buying again back,53
402750,B000EQX6HO,A2W95LYEAIRDAC,"I. B. Lehman ""IBL""",1,1,1,1316044800,Great product...just not in small packages!,love terra chipswhen they bags from storei ordered these expecting same quality wasnt chips these small bags which were perfect lunch were stale tasteless some chips were stale comfortably chew dont know they sitting around long warehouse somewhere they dont well small packages dont order these chips like this,49
429211,B0006VM0LU,A32T7H92YWC0A2,Molly F,0,0,1,1317340800,Unfortunately unsalvageable,wanted desperately like this sauce smells tastes awful with sour cream didnt help matters adding extra seasoning extra seasoning help long sauce kept near boiling soon cooled down went back smelling tasting disgusting really disappointed,35
238960,B001396HQS,A38NX60W8FYQMY,S. Teplinsky,1,2,1,1294704000,Vile odor (Canned Beef),canned beef from amazon around last summer opened just smells vile giving dogs sure this variation they always smell that definitely deleting from subscribe save list,26
146393,B003THS4ZE,A2RPX01W346QO2,Amyce463,0,0,1,1350950400,WTF,this worst diet cream soda have ever tasted life ever been drinking diet cream soda long remember this tastes like awful awful awful chemical concoction have just throw what waste money this nothing even close browns even private label stuff store like safeway terrible,44
550395,B001SAXPEO,A3ARC3UIY3Z1KQ,"Patricia A. Cioffi ""SHOPPING JUNKIE""",2,6,1,1238976000,VERY DISAPPOINTED,ordered kettle chips following flavvorsbr salt fresh ground pepperbr tuscan cheesebr cheddar hersbr they tasted same there variety pack suggest order before ordering large sizebr wish could return unopened bags,30
140950,B004DBS2TI,A2CTQOWHR1LNRD,Bananarama,0,2,1,1306195200,Not at all what I ordered,thought ordering light roast these kcups when received said light roast when opened extra bold french roastbleh much trouble return sent husband office bought some kcups store,27
476251,B000SQLQ0Y,A9TGWQJIORY4Q,"P. Mcgill ""cost buster""",9,10,1,1309651200,Why take a chance,four dogs love these they made china although there never been problem feeding this product wont take chance feed only made,21
501632,B001CCU8AW,A17C2P6KBYMBLK,"Jonathan Kupferschmidt ""Jkup""",0,3,1,1330128000,DO NOT BUY!!!,purchased these pods believing they were pods than went bought single kcup this coffee which smelled delicious upon opening than brewed coffee overwhelming smell taste cigarettes horrible purchase horrible seller with return policydo purchase unless want wolfgang puck cigarette coffee,40
394388,B001E5E1LE,A2URS5KYZU2D41,Viktoria Wang,4,7,1,1214092800,gritty and disgusting,positive reviews about taste this product generous mixed this product with different juices undrinkable texture taste almost made would recommend vega meal replacement hemp protein drink which actually tastes pleasant,30
554021,B001E5E0D8,A5RV5PJA783F0,Zgabeata Iftode,18,25,1,1311552000,70% Robusto,worst thing that they list fact this robusto arabica blendbr like robusto coffee taste smelly socks this personal preferencebr since this coffee list that robusto blend such great reviews from many people obviously like robusto coffee purchased dissatisfied with item what expectedbr since able return opened packagebr just people aware,50
313452,B0012XBDH8,A1AQ2W2R4SOVGN,De Profundis,7,17,1,1195516800,Check the label,fact that kettle foods claims their products natural really really really upsets these chips many other kettle chips contain yeast extract chemical level yeast extract same thing just derived from different source kettle labels some their products with their reps people sensitive glutamates should avoid their products informed consumer,49
14607,B0032BXUJM,A112KFC20A5QNA,cmarsh82,1,1,1,1329782400,explosive,just bought emril kcups have used about them half them exploded kurig machine such pain waste money because enddd throwing them away using another kcup because coffee full grindes cant even write seller complain,34
151831,B00315WGNK,A2ON5PLCYP5NC9,Bidderinaz,2,3,1,1284768000,Bad Quaility Control???,just order worst things have ever mouth something went horribly wrong when they made this batch think they spilled sodium nitrate something over this batch white powder over even turned nose give star because received other orders that were soso tasting cancelled subscription right after this buyer beware,48
262668,B000ES40NG,A1QH7964GWBGE2,"C. M. Butler ""Charlyce M. Johnson-Butler""",1,2,1,1168300800,The company stopped making the brand I wanted,disappointed because company stopped making brand like they only make version which give totally different taste then version company ordered from very nice about refunding money minus shipping handling charges they even keep product they sent however will give them daughters school treat children there informed company that chance they bring version back will order again going continue looking even have contact makers jolly ranchers,65
